[2024-05-19 22:04:32,166] [logger.py|__console] [line:41] INFO    : 进入https://dig.chouti.com/页面
[2024-05-19 22:04:32,508] [logger.py|__console] [line:41] INFO    : 点击('id', 'login_btn')元素
[2024-05-19 22:04:33,521] [logger.py|__console] [line:41] INFO    : 等待1秒
[2024-05-19 22:04:33,865] [logger.py|__console] [line:41] INFO    : 清空('name', 'phone')元素
[2024-05-19 22:04:34,732] [logger.py|__console] [line:41] INFO    : 在('name', 'phone')元素输入
[2024-05-19 22:04:34,940] [logger.py|__console] [line:41] INFO    : 清空('css selector', "input[placeholder='密码'][name='password'][type='password']")元素
[2024-05-19 22:04:35,191] [logger.py|__console] [line:41] INFO    : 在('css selector', "input[placeholder='密码'][name='password'][type='password']")元素输入
[2024-05-19 22:04:35,595] [logger.py|__console] [line:41] INFO    : 点击('css selector', '.eyes-icon.eye-close')元素
[2024-05-19 22:04:35,786] [logger.py|__console] [line:41] INFO    : 点击('css selector', '.btn-large.login-btn')元素
[2024-05-19 22:04:36,511] [logger.py|__console] [line:41] INFO    : 截屏成功,图片路径为D:\Documents\Python\UIAutoTestFrame\report\screenshot\phone_pwd_empty_202405192204.png
[2024-05-19 22:04:39,915] [logger.py|__console] [line:41] INFO    : 进入https://dig.chouti.com/页面
[2024-05-19 22:04:40,414] [logger.py|__console] [line:41] INFO    : 点击('id', 'login_btn')元素
[2024-05-19 22:04:41,415] [logger.py|__console] [line:41] INFO    : 等待1秒
[2024-05-19 22:04:41,536] [logger.py|__console] [line:41] INFO    : 清空('name', 'phone')元素
[2024-05-19 22:04:41,695] [logger.py|__console] [line:41] INFO    : 在('name', 'phone')元素输入
[2024-05-19 22:04:41,823] [logger.py|__console] [line:41] INFO    : 清空('css selector', "input[placeholder='密码'][name='password'][type='password']")元素
[2024-05-19 22:04:42,011] [logger.py|__console] [line:41] INFO    : 在('css selector', "input[placeholder='密码'][name='password'][type='password']")元素输入jJg56kfBvwyXR
[2024-05-19 22:04:42,160] [logger.py|__console] [line:41] INFO    : 点击('css selector', '.eyes-icon.eye-close')元素
[2024-05-19 22:04:42,285] [logger.py|__console] [line:41] INFO    : 点击('css selector', '.btn-large.login-btn')元素
[2024-05-19 22:04:42,864] [logger.py|__console] [line:41] INFO    : 截屏成功,图片路径为D:\Documents\Python\UIAutoTestFrame\report\screenshot\phone_empty_202405192204.png
[2024-05-19 22:04:45,475] [logger.py|__console] [line:41] INFO    : 进入https://dig.chouti.com/页面
[2024-05-19 22:04:45,868] [logger.py|__console] [line:41] INFO    : 点击('id', 'login_btn')元素
[2024-05-19 22:04:46,870] [logger.py|__console] [line:41] INFO    : 等待1秒
[2024-05-19 22:04:46,981] [logger.py|__console] [line:41] INFO    : 清空('name', 'phone')元素
